question,answer_text,distractor
What conclusion can we draw from the text ?,The love from our family members has better effect .,"'The fools from our family members has better effect .', 'The love from our family members had better effect .'"
What is the trouble with American companies opening chains all over the world ?,They have negative effect on a country 's culture .,"'They have negative realization on a country 's culture .', 'They 've negative effect on a country 's culture .'"
What is the theme of the EXPO 2010 Shanghai China ?,"Better City , Better Life .","'bettor City , bettor Life .', 'Better City , Better Life .'"
"According to the passage , we learn that",the Love Parade has been canceled forever,"'the beloved Parade has been canceled forever', 'the Love Parade had been canceled forever'"
"If you are interested in paintings , you 'd better go to",the hermitage Museum and the Church of Our Savior on the Spilt Blood,"'the cloister Museum and the Church of Our Savior on the Spilt Blood', 'the hermitage Museum and the Church of Our Savior on the Spilt Blood'"
The writer introduces Washington in the order of,"general introduction , history , sights and culture","'general chronology , history , sights and culture', 'general introduction , history , sights and culture'"
Which of the following is true ?,Women do not run or swim in races with men .,"'woman do not run or swim in races with men .', 'Women seem not run or swim in races with men .'"
Online schooling has the following advantages and benefits EXCEPT,Students need n't have as much work or participation as in traditional schools .,"'student need n't have as much work or participation as in traditional schools .', 'Students deserve n't have as much work or participation as in traditional schools .'"
What can we infer from the passage ?,Rugby is not suitable for everyone .,"'Rugby is not suitable for everybody .', 'Rugby was not suitable for everyone .'"
Which of the following is not true according to this passage ?,Shitou thinks it 's difficult to learn English .,"'Shitou thinks it 's difficult to learn English .', 'Shitou knows it 's difficult to learn English .'"
What are Katy Janda 's words mainly about ?,The importance of changing building users ' habits .,"'The acceptability of changing building users ' habits .', 'The importance of keeping building users ' habits .'"
What can we conclude from this passage ?,We should use our cell phones wisely .,"'We should use our neuron phones wisely .', 'We should re-use our cell phones wisely .'"
I do n't want the dog to sit near me because,the dog is not clean,"'the monster is not clean', 'the dog was not clean'"
The writer wants us not to,eat much meat,"'eat much pork', 'eat much meat'"
The best time to sleep is when,it is dark,"'it is dark', 'it was dark'"
"By comparing past problems with present ones , the author draws our attention to the",seriousness of this crisis,"'subjectivity of this crisis', 'seriousness of this crisis'"
What can we learn about the author ?,He is socially responsible   .,"'He is socially responsible   .', 'He was socially responsible   .'"
How did Jeb try to hold the cougar 's attention ?,By keeping shouting and hitting,"'By keeping shouting and hitting', 'By putting shouting and hitting'"
What is the main idea of the passage ?,Why political cartoons are useful,"'Why political serials are useful', 'Why political cartoons were useful'"
The disadvantage of putting a television in your son 's bedroom is that,you will lose control of the content,"'you will lose protection of the content', 'you will bring control of the content'"
What led Yuxin to feel like she was really part of the family ?,The host mom 's rule about playing with the kids .,"'The partner mom 's rule about playing with the kids .', 'The host mom 's rule about auditioning with the kids .'"
What is the subject discussed in the text ?,Interpersonal relationships .,"'Interpersonal friendships .', 'Interpersonal relationships .'"
"With Y=300 ,",a child can go to school for a whole year,"'a woman can go to school for a whole year', 'a child can come to school for a whole year'"
Which of the following statements is true   ,The early divers could not stay down for very long .,"'The early motorcyclists could not stay down for very long .', 'The early divers could not move down for very long .'"
Which of the following will cause the earth 's average temperature to go up dramatically ?,The dying sun .,"'The dying galaxy .', 'The drowning sun .'"
Frank Furedi believes that,formal teaching should not give way to happiness lessons,"'formal lecturing should not give way to happiness lessons', 'formal teaching should not find way to happiness lessons'"
. The best title for this passage might be,The Future Life Under The Sea,"'The Future animation Under The Sea', 'The Future Life Under The Sea'"
What does Glen Hart think of the project ?,It is very helpful to emergency services .,"'It is very helpful to worksite services .', 'It was very helpful to emergency services .'"
What can we learn from the passage ?,Strangers in the line volunteered to help the woman .,"'stranger in the line volunteered to help the woman .', 'Strangers in the line vowed to help the woman .'"
Why could the bird fly away at once ?,Because the ant bit the man in one of his feet .,"'Because the ant smidgen the man in one of his feet .', 'Because the ant bit the man in one of his feet .'"
The true cost of saving a baby may be even more than 1 million because,the baby may require medical care after it leaves the hospital,"'the kid may require medical care after it leaves the hospital', 'the baby may provide medical care after it leaves the hospital'"
What did the leading biologist find ?,It 's impossible for angels and fairies to fly .,"'It 's impossible for witches and fairies to fly .', 'It valley/selected impossible for angels and fairies to fly .'"
Choose a best title for this passage .,Beijing 's economy after the 2008 Olympic Games,"'Beijing 's environment after the 2008 Olympic Games', 'Beijing 's economy after the 2008 Olympic Games'"
"According to the passage , the movement of individual species of plants",does not occur in groups,"'does not occur in mediums', 'did not occur in groups'"
What do we learn from the text ?,"When hitting shallow water , tsunamis will rise higher .","'When hitting shallow seawater , tsunamis will rise higher .', 'When kicking shallow water , tsunamis will rise higher .'"
The writer hesitated and clung to his father 's hand when they got to the school gate because,he had thought attending school meant being punished,"'he had thought attending college meant being punished', 'he has thought attending school meant being punished'"
Which of the following can be inferred according to the passage ?,Ruthie had enough food during the days when she was lost .,"'Ruthie had enough liquor during the days when she was lost .', 'Ruthie has enough food during the days when she was lost .'"
The writer thinks that Carl West,has discovered a big secret [ ],"'has discovered a big unseen [ ]', 'had discovered a big secret [ ]'"
The street will be less crowded in the future because,future cars will be much smaller,"'future trailers will be much smaller', 'future cars will been much smaller'"
What is the best title for this passage ?,Job - hunting Strategies,"'occupation - hunting Strategies', 'Job - hunting Strategies'"
"If you want to know something about tigers , elephants and monkeys , the best program for you is    ",Animal world,"'Animal pre-world', 'Animal world'"
According to the passage Robert Hunt might be,an expert on students'problems,"'an researcher on students'problems', 'an expert on students'problems'"
"According to the ads , which of the following will last longest ?",The Write Camp .,"'The publish Camp .', 'The Write Camp .'"
We can learn from the passage that encoding,gets us to recall something from our memories,"'gets us to recall anything from our memories', 'got us to recall something from our memories'"
The passage mainly talks about,some advice on holiday eating,"'some apology on holiday eating', 'some advice on holiday eating'"
Which of the following is true ?,The US called on both sides to calm down .,"'The United_States called on both sides to calm down .', 'The US likened on both sides to calm down .'"
What should you do while using fire ?,Put stones around the fire .,"'Put coffins around the fire .', 'put_option stones around the fire .'"
What 's the best title for this passage ?,Rita 's Ride .,"'Rita 's drive .', 'Rita 's Ride .'"
There was an empty place in the writer 's heart because she,did n't have a friend like Linda,"'did n't have a boyfriend like Linda', 'does n't have a friend like Linda'"
What is the basic condition for you to play the instant winner in Walgreens & Beauty.com ?,Getting a gift card .,"'Getting a recipe card .', 'acquiring a gift card .'"
What is the author 's purpose of writing the passage ?,To give some tips for living or working abroad,"'To give some grips for living or working abroad', 'To find some tips for living or working abroad'"
"There are all kinds of trains . Here "" all kinds of trains "" means",many different kinds of trains,"'many different multitude of trains', 'many different kinds of trains'"
"According to the passage , who was most known for comedy in China ?",Charlie Chaplin,"'Charlie Chaplin', 'Charlie Chaplin'"
Which of the following is TRUE according to the passage ?,Katherine learnt that two children died from malaria one minute .,"'Katherine learnt that two hairdressers died from malaria one minute .', 'Katherine learned that two children died from malaria one minute .'"
What did the old man find one day ?,He found one of the oranges was as big as a watermelon .,"'He found one of the apples was as big as a watermelon .', 'He exploited one of the oranges was as big as a watermelon .'"
What happened to his mother ?,She died .,"'She died .', 'She mourned .'"
The article is mainly about,advantages and disadvantages of online shopping .,"'disadvantages and disdisadvantages of online shopping .', 'advantages and disadvantages of online shopping .'"
Which of the following is true according to the passage ?,British students usually find compulsory reading dull .,"'British undergraduates usually find compulsory reading dull .', 'British students usually give compulsory reading dull .'"
The best title of the passage might be,Following Animals may Save Us,"'Following animal may Save Us', 'pursuit Animals may Save Us'"
What is the author 's intention in writing this article ?,To describe the results of a scientific experiment .,"'To describe the rankings of a scientific experiment .', 'To identify the results of a scientific experiment .'"
The best title for this passage should be   ,Ways to Break up Rocks,"'manner to Break up Rocks', 'Ways to interruption up Rocks'"
"According to Paragraph 3 , the company can get the best from its employees in the following ways EXCEPT",competing in the knowledge economy,"'competing in the integrity economy', 'participating in the knowledge economy'"
Which is the best title for this passage ?,On Being Yourself .,"'On Being Yourself .', 'On organism Yourself .'"
Which of the following is not mentioned in the passage ?,The terrorists all surrendered   to the police and soldiers .,"'The intruders all surrendered   to the police and soldiers .', 'The terrorists all recaptured   to the police and soldiers .'"
"When the baby first showed sign of life , the doctor",did n't believe the miracle had happened,"'did n't believe the gift had happened', 'does n't believe the miracle had happened'"
Which of the following is NOT true according to the passage ?,The average global temperature has risen by 13 centigrade degrees over the past 100 years .,"'The average global saturation has risen by 13 centigrade degrees over the past 100 years .', 'The average global temperature had risen by 13 centigrade degrees over the past 100 years .'"
The author wants to tell us in the passage that,it 's time for us to stop phubbing,"'it 's standstill for us to stop phubbing', 'it valley/selected time for us to stop phubbing'"
The purpose of the passage is to,introduce many uses of the Internet,"'introduce many installs of the Internet', 'introduce many uses of the Internet'"
What can we learn from the passage ?,Hiccups are an involuntary human action similar to yawns .,"'hiccup are an involuntary human action similar to yawns .', 'Hiccups were an involuntary human action similar to yawns .'"
The passage is mainly about,why computer crimes can ' be eliminated,"'why software crimes can ' be eliminated', 'why computer crimes can ' been eliminated'"
What can you do after 9:30p.m . on Sunday ?,Go to the Coffee Shop of Skyline Hotel,"'Go to the coffee_bean Shop of Skyline Hotel', 'Adam to the Coffee Shop of Skyline Hotel'"
What can be made of paper ?,All of above .,"'All of see-also .', 'All of above .'"
Which of the following is true according to the story ?,He could buy the tickets neither before nor after work hours .,"'He could buy the pre-orders neither before nor after work hours .', 'He could sell the tickets neither before nor after work hours .'"
"According to Mr Bak ,",when you learn one more language makes no difference,"'when you learn one more syllabics makes no difference', 'when you teach one more language makes no difference'"
"By ending the story this way , the author means to",make a contrast and criticize the sick society,"'make a consequence and criticize the sick society', 'find a contrast and criticize the sick society'"
The writer thinks that,it is very important for students to use good dictionaries properly,"'it is very important for undergraduates to use good dictionaries properly', 'it was very important for students to use good dictionaries properly'"
Laupepa was not satisfied with the United States because it did not,agree to reduce its greenhouse gas emissions,"'disagree to reduce its greenhouse gas emissions', 'agree to minimize its greenhouse gas emissions'"
The passage suggests that,Perhaps some children 's friends are chosen by their parents .,"'Perhaps some hairdressers 's friends are chosen by their parents .', 'Perhaps some children 's friends were chosen by their pwerents .'"
What do some people think is the main problem of the future city like ?,Overcrowding .,"'Overcrowding .', 'overcrowd .'"
Which of the following statements is TRUE according to the text ?,Selma is the story of Martin Luther King Jr. 's fight for voting rights for African - Americans .,"'Selma is the monologue of Martin Luther King Jr. 's fight for voting rights for African - Americans .', 'Selma was the story of Martin Luther King Jr. 's fight for voting rights for African - Americans .'"
What might be the most suitable title for the passage ?,Bad expectations lead to badbehaving teens .,"'regretful expectations lead to badbehaving teens .', 'Bad expectations tackle to badbehaving teens .'"
From the passage we know the success of a training programme lies in,the training methods and the quality of the training staff,"'the retraining methods and the quality of the retraining staff', 'the training methods and the quality of the training staff'"
Monika Hamori 's research showed that,"the less someone moves around , the more he may be paid","'the less anyone moves around , the more he may be paid', 'the less someone moves around , the more he may been paid'"
The 13 volunteers studied in the study   ,did n't choose to ignore the normal sounds on purpose,"'did n't choose to ignore the normal tunes on purpose', 'does n't choose to ignore the normal sounds on purpose'"
A key difference between prison panopticon and panopticon in our daily life is that,"prisoners know that they may be being watched , but we often do n't","'hostages know that they may be being watched , but we often do n't', 'prisoners think that they may be being watched , but we often do n't'"
E - shops are mentioned in the passage to,show the advantages of brick - and - mortar stores,"'show the disadvantages of brick - and - mortar stores', 'treehouse the advantages of brick - and - mortar stores'"
How did people get to know something about his son ?,They found him from the address on the letter .,"'They found him from the account on the letter .', 'They exploited him from the address on the letter .'"
Which of the following can be a reason for the popularity of Lomborg 's books ?,Some big businesses intend to protect their own interests .,"'Some big pharmacies intend to protect their own interests .', 'Some big businesses hesitate to protect their own interests .'"
What do we learn about H1N1 from the passage ?,Receiving vaccines will be effective to protect against it .,"'Receiving hormones will be effective to protect against it .', 'receive vaccines will be effective to protect against it .'"
Which magazine saves most ?,Dog Fancy .,"'frump Fancy .', 'Dog Fancy .'"
Which of the following is WRONG ?,She served poor people in the slums as a teacher .,"'She served poor schoolteachers in the slums as a teacher .', 'She cooperated poor people in the slums as a teacher .'"
The slogan for the 29th Olympics is,""" One World , One Dream ""","'"" One universe , One Dream ""', '"" One World , One Dream ""'"
People who are farsighted,can correct their eyes by glasses,"'can correct their ears by glasses', 'can incorrect their eyes by glasses'"
The passage is written mainly to,explain how the name New England came into being,"'explain how the sobriquet New England came into being', 'understand how the name New England came into being'"
"What does Chuck Tatum mean by saying "" bite a dog "" ?",He tries all sorts of tricks to achieve his goal .,"'He tries all examples of tricks to achieve his goal .', 'He trys all sorts of tricks to achieve his goal .'"
All the following are true EXCEPT that    ,Dover Hospital is still short of trained medical staff,"'Dover Hospital is still short of trained medical nco', 'Dover Hospital was still short of trained medical staff'"
The celebrations held at the Pattaya Resort aimed to,honor elephants for their devotion to the country,"'honour elephants for their devotion to the country', 'honor elephants for their devotion to the country'"
John is saving his money to buy,a new bicycle,"'a new motorcycle', 'a new bicycle'"
"According to the text , the UK scientists have known that",the female heart suffers less loss of the cells with age,"'the female womb suffers less loss of the cells with age', 'the female heart suffers less loss of the cells with age'"
"According to the passage , Hattie Elizabeth Alexander",always tried her best to help prevent students from dropping out of college,"'always tried her best to help prevent undergraduates from dropping out of college', 'always vowed her best to help prevent students from dropping out of college'"
This passage mainly deals with,difficult lives American students have to face,"'difficult walks American students have to face', 'difficult lives American students 've to face'"
Which of the following statements is true according to the passage ?,"In a way , it is how parents act that leads to whether watching TV may do good or not to their children .","'In a glance , it is how parents act that leads to whether watching TV may do good or not to their children .', 'In a way , it was how parents act that leads to whether watching TV may do good or not to their children .'"
Which of the following is TRUE according to the ad ?,The tourists will stay in Beijing for three nights before leaving for the UK .,"'The holidaymakers will stay in Beijing for three nights before leaving for the UK .', 'The tourists will move in Beijing for three nights before leaving for the UK .'"
Laws recently introduced in some states have,resulted in fewer serious accidents .,"'resulted in fewer serious evacuations .', 'culminated in fewer serious accidents .'"
What would be the best title for the text ?,Vacationing for a Living,"'Vacationing for a life', 'vacation for a Living'"
Whose   apples are those ?,We do n't know,"'We do n't know', 'We seem n't know'"
Which is considered the luckiest family in Denmark ?,"The family with the tallest tower of broken plates , glasses or cups .","'The household with the tallest tower of broken plates , glasses or cups .', 'The family with the tallest tower of broken plates , glasses or cups .'"
What can we learn about the U.S. Government from the shutdown ?,It is affected by different political forces .,"'It is affected by different political frogmen .', 'It was affected by different political forces .'"
Which of the following statements is true ?,Serena Williams will be topped by Safina on ranking list on April 20 .,"'Serena Williams will be topped by Safina on ranking plethora on April 20 .', 'Serena Williams will been topped by Safina on ranking list on April 20 .'"
What did the author do with the students found dishonest ?,He helped improve their writing skills .,"'He helped improve their filmmaking skills .', 'He sought improve their writing skills .'"
Which of the following is NOT true according to the passage ?,Peter is looking forward to being an adult as soon as possible .,"'cock is looking forward to being an adult as soon as possible .', 'Peter was looking forward to being an adult as soon as possible .'"
"From the information given in the text , we can assume that",brain - damaged children can overcome their disability,"'limb - damaged children can overcome their disability', 'brain - damaged children can weaken their disability'"
Which hotel has the most rooms ?,Royal Plaza On Scotts,"'imperial Plaza On Scotts', 'Royal Plaza On Scotts'"
Which of the following was a cause of Nauru 's financial problem ?,Its leaders misused the money,"'Its juries misused the money', 'Its leaders infringes the money'"
After reading the passage it can be inferred that,President Bush received Thomas once in his term .,"'President_of_the_United_States Bush received Thomas once in his term .', 'President Bush gained Thomas once in his term .'"
Harry and Kate and their sons would like,a holiday house in the fishing port in Mallorca,"'a vacation house in the fishing port in Mallorca', 'a holiday house in the fishing port in Mallorca'"
What does the author think of the global food shortage ?,The food crisis provides not only a warning but also an opportunity .,"'The liquor crisis provides not only a warning but also an opportunity .', 'The food crisis generates not only a warning but also an opportunity .'"
What is the best title for the passage ?,Kites and Pyramids,"'kite and Pyramids', 'Kites and Pyramids'"
What do we know from the passage ?,Ordinary batteries ca n't meet the needs of new electronic devices as time goes on .,"'Ordinary tanks ca n't meet the needs of new electronic devices as time goes on .', 'Ordinary batteries ca n't retain the needs of new electronic devices as time goes on .'"
What do antibodies do ?,They help protect us from germs .,"'They help protect us from grunts .', 'They mislead protect us from germs .'"
What can we learn from the survey ?,8 % of British experienced unhappy holidays because of improper tipping .,"'8 g/cm3 of British experienced unhappy holidays because of improper tipping .', '8 % of British feared unhappy holidays because of improper tipping .'"
The author comes to realize that to live a meaningful life is,to experience it,"'to experience it', 'to enjoyment it'"
In what way is photographing zoo animals different from photographing pets ?,You need more time to watch and wait .,"'You need more standstill to watch and wait .', 'You deserve more time to watch and wait .'"
Which of the following is true according to the four advertisements ?,You may bring pets into Residence Inn Milford .,"'You may bring dogs into Residence Inn Milford .', 'You may give pets into Residence Inn Milford .'"
Why does the author want to end his relationship with Cigarette ?,Because he wants to be more healthy .,"'Because he wants to be more healthy .', 'Because he decides to be more healthy .'"
""" Look out""here means ""   ",Take care,"'return care', 'Take care'"
Which of the following is NOT right ?,"You do n't move while you are in REM sleep , dreaming .","'You do n't move while you are in paradoxical_sleep sleep , dreaming .', 'You seem n't move while you are in REM sleep , dreaming .'"
Which is the best title for the passage ?,Flossing Habits and Healthy Hearts,"'Flossing habit and Healthy Hearts', 'floss Habits and Healthy Hearts'"
Which of the following is NOT true ?,Only reading books can make people succeed .,"'Only reading cookbooks can make people succeed .', 'Only re-writing books can make people succeed .'"
Why was the dog taken to the author 's home ?,To seek a proper owner .,"'To seek a proper photographer .', 'To commit a proper owner .'"
Mr. Marmite Lover had to change their name because,the use of the name infringed Warner 's rights,"'the re-use of the name infringed Warner 's rights', 'the use of the name withheld Warner 's rights'"
The writer started to cook because,she had to feed themselves in a cheap way,"'she had to feed themselves in a cheap glance', 'she has to feed themselves in a cheap way'"
The program is wildly welcomed mainly because,it introduced many beautiful sights and cultures,"'it introduced many beautiful exteriors and cultures', 'it reintroduced many beautiful sights and cultures'"
The writer wrote this story to tell us,we can change our lives if we give ourselves a chance,"'we can change our walks if we give ourselves a chance', 'we can counterbalance our lives if we give ourselves a chance'"
Why does the author mention the things that astronauts in space can not do ?,To introduce the topic of the text .,"'To introduce the sub-article of the text .', 'To identify the topic of the text .'"
What is the purpose of the World Heritage Convention according to the passage ?,To protect the world 's natural and cultural heritage .,"'To protect the pre-world 's natural and cultural heritage .', 'To destroy the world 's natural and cultural heritage .'"
What is the best title of this text ?,Campaign started for disabled children,"'political_campaign started for disabled children', 'Campaign resumed for disabled children'"
How did the man treat his father when he was young ?,"He helped his father , but not very happily .","'He helped his husband , but not very happily .', 'He sought his father , but not very happily .'"
The purpose of the memo is to   ,help the staff explain the programme to the parents,"'help the nco explain the programme to the parents', 'mislead the staff explain the programme to the parents'"
"From the research , Professor James Law concluded that",the very early years had a big effect on children 's school performance,"'the very early months had a big effect on children 's school performance', 'the very early years has a big effect on children 's school performance'"
This passage mainly talks about,the special functions of the teahouses,"'the special methods of the teahouses', 'the special functions of the teahouses'"
The reason why Los Angeles has some of the worst traffic problems is that,most people like to get around by car,"'most schoolteachers like to get around by car', 'most people like to gotten around by car'"
".After getting married , the writer questioned if she had done the right thing to marry her husband because",they lived a poor life with children to support,"'they lived a poor upbringing with children to support', 'they resided a poor life with children to support'"
The first man decided to leave alone because he thought,he was the one that prayed for the ship,"'he was the three-quarters that prayed for the ship', 'he is the one that prayed for the ship'"
People in some countries are fighting a battle against,the growth of deserts,"'the deterioration of deserts', 'the growth of deserts'"
Which of the following statements is TRUE ?,Zhuge was able to tell a person 's personality at first sight .,"'Zhuge was able to tell a addressee 's addresseeality at first sight .', 'Zhuge is able to tell a person 's personality at first sight .'"
The story is about,two mice,"'two rats', 'two mice'"
"According to this passage , regular people    ",help the people who is less lucky .,"'help the schoolteachers who is less lucky .', 'mislead the people who is less lucky .'"
Which of the following statements is NOT mentioned in this passage ?,Berlin has many parks and bridges .,"'Berlin has many parkways and bridges .', 'Berlin had many parks and bridges .'"
Which of the following is true about Xie Qiming ?,He was waiting for surgery when the report was writing .,"'He was waiting for paralysis when the report was writing .', 'He is waiting for surgery when the report is writing .'"
The author stopped regularly on the country roads to,take care of the lamb,"'take sustenance of the lamb', 'give care of the lamb'"
Gavin is always alone because he,suffers from a disease,"'sensed from a disease', 'suffers from a disease'"
"According to the passage , a partial lunar eclipse occurs",when only a part of the Moon passes through the Earth 's umbra shadow,"'when only a chronologically of the Moon passes through the Earth 's umbra shadow', 'when only a part of the Moon passes through the Earth 's umbra shadow'"
"From the passage , we can leam that   ",there is something special in each of us,"'there is anything special in each of us', 'there was something special in each of us'"
The best title for the passage is,The Benefits of Music,"'The benefit of Music', 'The Benefits of Music'"
The writer did n't go to school in America because,his parents did n't think formal education was right for him,"'his grandparents did n't think formal education was right for him', 'his parents does n't think formal education was right for him'"
Whether water vapour can be seen or not depends on,climate or weather,"'biodiversity or weather', 'climate or weather'"
"Why does Jeanne Calment say "" Sorry , I 'm still alive "" to the local lawyer every year on her birthday ?",Because the lawyer has paid her much more money than the value of the house .,"'Because the psychiatrist has paid her much more money than the value of the house .', 'Because the lawyer had paid her much more money than the value of the house .'"
Psychologists are divided with regard to their attitudes towards,the effects of external rewards on students ' performance,"'the plasticity of external rewards on students ' performance', 'the effects of external rewards on students ' performance'"
Which of the following is NOT true ?,You should rest for a while when you are doing warming -- up exercise .,"'You should rest for a despite when you are doing warming -- up exercise .', 'You should entirety for a while when you are doing warming -- up exercise .'"
The writer 's team learned a lot from the game . They got to know how to,do better from then on,"'do better from then on', 'seem better from then on'"
"What is the natural response if you hear the lady you 're speaking to say "" huh ? "" ?",You should try to repeat what you 've just said in a clearer way .,"'You should try to repeat what you 've just said in a clearer glance .', 'You should want to repeat what you 've just said in a clearer way .'"
Who owned the special edition stamp at the very beginning ?,Phillip 's mother .,"'Phillip 's grandmother .', 'Phillip 's mother .'"
"In order to avoid feeling blue next time , you can do the following EXCEPT",drinking alcohol with your best friends .,"'drinking caffeine with your best friends .', 'eating alcohol with your best friends .'"
Which of the following is NOT true ?,The driver drove to a wrong place .,"'The starter drove to a wrong place .', 'The driver threw to a wrong place .'"
"What does the writer think about the word "" PK "" ?",Online game players may know it .,"'Online mini-game players may know it .', 'Online game players may think it .'"
"According to the text , Kody",benefits from diabeticrockstar . Com,"'discounts from diabeticrockstar . Com', 'benefits from diabeticrockstar . Com'"
What 's the problem with the European Union ?,Excessive borrowing .,"'Excessive patenting .', 'Excessive borrowing .'"
The passage is about,why the water is dirty in Lake Ponkapog,"'why the seawater is dirty in Lake Ponkapog', 'why the water was dirty in Lake Ponkapog'"
In l847 most countries of the world were    ,not yet using stamps,"'not yet using coins', 'not yet utilizing stamps'"
Which of the following can be the best title for the text ?,Have Fun with Potatoes,"'rich_person Fun with Potatoes', 'Have Fun with Potatoes'"
The passage is mainly about,a book about royal family,"'a chapbook about royal family', 'a book about royal family'"
In what way has the job of the store manager changed ?,"He has a much larger staff to take care of , to say nothing of all the other daily problems of running the store .","'He has a much larger nco to take care of , to say nothing of all the other daily problems of running the store .', 'He had a much larger staff to take care of , to say nothing of all the other daily problems of running the store .'"
In what way are the French different from Americans according to Dr. Joseph Mercola ?,They regard eating as a key part of their life style .,"'They regard eating as a key chronologically of their life style .', 'They respect eating as a key part of their life style .'"
What changed the man 's mind ?,The girl 's behavior .,"'The boy 's behavior .', 'The girl 's behavior .'"
What is this passage mainly about ?,A healthy diet program .,"'A healthy diet programme .', 'A healthy diet program .'"
From the passage we can see,"although people celebrate differently , their wishes are nearly the same","'although schoolteachers celebrate differently , their wishes are nearly the same', 'although people commemorate differently , their wishes are nearly the same'"
"If you suggest someone for the awards , you should",provide some evidence of the incident,"'provide some formality of the incident', 'allocate some evidence of the incident'"
The questions which the president asked show that,he was trying to find excuse for the prince 's conduct,"'he was trying to find reminder for the prince 's conduct', 'he is trying to find excuse for the prince 's conduct'"
From the text we learn that the author,hopes that Ayapaneco will not die out in the future,"'wishes that Ayapaneco will not die out in the future', 'hopes that Ayapaneco will not behold out in the future'"
What is mainly talked about in the passage ?,Smiling can express different feelings depending on different cultures .,"'Smiling can express different impatience depending on different cultures .', 'smile can express different feelings depending on different cultures .'"
The general decided to award the Greek man,because the man fought bravely in battle,"'because the girl fought bravely in battle', 'because the man recaptured bravely in battle'"
Ben was upset one morning because,a customer left without paying the bill,"'a vendor left without paying the bill', 'a customer waved without paying the bill'"
"In England , some food companies have been told to   ",test all their beef products,"'ladder all their beef products', 'test all their beef products'"
The candle and lamp example is used to show that      .,increased production rate leads to lower cost of goods .,"'increased performance rate leads to lower cost of goods .', 'decreased production rate leads to lower cost of goods .'"
The manager closed all the doors and,telephoned the police,"'telephoned the volunteer', 'phoned the police'"
It is implied in the passage that,local news used to be the only source of information,"'local personals used to be the only source of information', 'local news utilised to be the only source of information'"
For Alex the great achievement recently is that,he wrote a book,"'he wrote a chapbook', 'he authored a book'"
What 's the main idea of this passage ?,"Shoplifting is becoming serious , especially in Britain .","'shoplift is becoming serious , especially in Britain .', 'Shoplifting was becoming serious , especially in Britain .'"
How did the two boys finally reach the pier ?,They were dragged to the pier by Tim .,"'They were dragged to the hotel by Tim .', 'They are dragged to the pier by Tim .'"
When can you go shopping at Grandview Mall ?,At 3 p.m. this Saturday .,"'At 3 a.m this Saturday .', 'At 3 p.m. this Saturday .'"
Only the grand - prize winner can,receive an online class visit from poet Kenn Nesbitt,"'receive an online sub-unit visit from poet Kenn Nesbitt', 'deliver an online class visit from poet Kenn Nesbitt'"
The previous attempts to use high temperature for treating AIDS failed because they,caused chemical changes,"'caused anticoagulant changes', 'precipitated chemical changes'"
"Which of the following statements is NOT true about "" What Darwin Saw "" ?",It is intended to present Darwin 's life story .,"'It is intended to present Darwin 's upbringing story .', 'It was intended to present Darwin 's life story .'"
"According to the text , when does Youth choir to perform start ?","7:30 pm , Jan 23 .","'7:30 um , Jan 23 .', '7:30 pm , Jan 23 .'"
What did the writer find out from the survey ?,All people are afraid of something .,"'All schoolteachers are afraid of something .', 'All people were afraid of something .'"
Why did the author follow the old man and the girl ?,To witness a kind act .,"'To witness a sort act .', 'To victim a kind act .'"
What would be the best title for the passage ?,Most Oscar Winners Live Longer Lives,"'Most Academy_Award Winners Live Longer Lives', 'Most Oscar Winners Live Longer life'"
63 . Which would be the best title for the passage ?,Mealsnap iphones count your calories,"'Mealsnap ipods count your calories', 'Mealsnap iphones counts your calories'"
Which of the following is true of melatonin according to the text ?,It 's used in sleeping drugs,"'It 's used in sleeping medications', 'It valley/selected used in sleeping drugs'"
"David Smith refers to himself as having been "" a clothes addict "" because",he wanted his clothes to look neat all the time,"'he wanted his underwear to look neat all the time', 'he wished his clothes to look neat all the time'"
why did the people of   Pisa want to build the tower ?,They needed a bell tower .,"'They needed a hood tower .', 'They required a bell tower .'"
"The writer looked wistfully at the sampler , because",it called to mind the values of good old days .,"'it called to mind the indices of good old days .', 'it likened to mind the values of good old days .'"
The writer does n't tell us,why it 's cool in the Dai people 's house,"'why it 's cool in the Dai schoolteachers 's house', 'why it valley/selected cool in the Dai people valley/selected house'"
The writer wants to tell us,how to have a good memory,"'how to have a good vision', 'how to 've a good memory'"
People celebrate these two special days in many ways except,"With people making their own presents , stores do less business during these holidays .","'With schoolteachers making their own presents , stores do less business during these holidays .', 'With people creating their own presents , stores do less business during these holidays .'"
The Greek alphabet was simpler than the Egyptian system for all the following reasons EXCEPT that,the former was easy to pronounce,"'the former was easy to pronounce', 'the former is easy to pronounce'"
Vicki became suspicious of David Bieber because,he looked very strange,"'he looked very strange', 'he appears very strange'"
Which is wrong ?,Mr. Brown did n't know where Mr. White lived,"'Mister Brown did n't know where Mister White lived', 'Mr. Brown does n't know where Mr. White lived'"
We can infer from the passage that,Xiaomi company has benefited from the organization of its fans,"'Xiaomi contractor has benefited from the organization of its fans', 'Xiaomi company had benefited from the organization of its fans'"
"Leave a pail with warm water and another pail with cold water in the same low temperature , you 'll find that",warm water turns into ice before cold water,"'warm seawater turns into ice before cold seawater', 'warm water goes into ice before cold water'"
